ticket_id,primeira_resposta_min,primeira_resposta_biz_min,resolucao_min,resolucao_biz_min,pendencia_min,pendencia_biz_min,primeira_resposta_h,resolucao_h,pendencia_h,num_respostas,num_reabertas
11794,1080.0,8.0,1080.0,8.0,1080.0,8.0,18.0,18.0,18.0,1,0
11869,184.0,184.0,374.0,374.0,375.0,375.0,3.07,6.23,6.25,3,0
11943,93.0,93.0,93.0,93.0,93.0,93.0,1.55,1.55,1.55,1,0
11927,280.0,272.0,333.0,272.0,333.0,272.0,4.67,5.55,5.55,2,0
11974,259.0,0.0,259.0,0.0,259.0,0.0,4.32,4.32,4.32,1,0
12210,1359.0,49.0,1359.0,49.0,1359.0,49.0,22.65,22.65,22.65,1,0
12167,7.0,7.0,23.0,23.0,23.0,23.0,0.12,0.38,0.38,2,0
12170,14.0,6.0,14.0,6.0,14.0,6.0,0.23,0.23,0.23,1,0
12164,24.0,24.0,64.0,64.0,33.0,33.0,0.4,1.07,0.55,2,0
12165,18.0,18.0,75.0,66.0,61.0,57.0,0.3,1.25,1.02,3,1
12166,17.0,17.0,32.0,32.0,31.0,31.0,0.28,0.53,0.52,2,0
12161,20.0,20.0,66.0,66.0,66.0,66.0,0.33,1.1,1.1,3,0
12162,13.0,13.0,67.0,67.0,67.0,67.0,0.22,1.12,1.12,2,0
12163,14.0,14.0,57.0,57.0,14.0,14.0,0.23,0.95,0.23,2,0
12056,370.0,370.0,1585.0,732.0,377.0,372.0,6.17,26.42,6.28,3,0
12065,321.0,321.0,1537.0,684.0,342.0,323.0,5.35,25.62,5.7,3,0
12153,26.0,26.0,185.0,185.0,26.0,26.0,0.43,3.08,0.43,3,0
12030,211.0,211.0,1666.0,815.0,360.0,360.0,3.52,27.77,6.0,3,0
12050,342.0,342.0,1601.0,748.0,358.0,358.0,5.7,26.68,5.97,4,0
12203,1408.0,38.0,1411.0,41.0,1411.0,41.0,23.47,23.52,23.52,1,0
12214,1293.0,41.0,1295.0,43.0,1295.0,43.0,21.55,21.58,21.58,1,0
12226,1124.0,47.0,1193.0,116.0,1193.0,116.0,18.73,19.88,19.88,2,0
12209,1436.0,93.0,1441.0,99.0,1439.0,97.0,23.93,24.02,23.98,2,0
12218,1231.0,47.0,1288.0,104.0,1288.0,104.0,20.52,21.47,21.47,2,0
12225,1130.0,47.0,1193.0,111.0,1194.0,111.0,18.83,19.88,19.9,2,0
12169,43.0,40.0,2629.0,109.0,2592.0,109.0,0.72,43.82,43.2,1,1
12187,2230.0,105.0,2243.0,119.0,2240.0,116.0,37.17,37.38,37.33,1,0
12240,808.0,18.0,972.0,181.0,818.0,27.0,13.47,16.2,13.63,2,0
12202,1385.0,13.0,1553.0,181.0,1385.0,13.0,23.08,25.88,23.08,1,0
12189,2087.0,9.0,2259.0,182.0,2087.0,9.0,34.78,37.65,34.78,2,0
9438,58.0,58.0,107.0,107.0,74.0,74.0,0.97,1.78,1.23,2,0
12168,4.0,4.0,2783.0,263.0,2622.0,102.0,0.07,46.38,43.7,6,1
12270,8.0,8.0,14.0,14.0,11.0,11.0,0.13,0.23,0.18,1,1
12134,622.0,0.0,3646.0,503.0,3377.0,235.0,10.37,60.77,56.28,2,0
12172,2541.0,31.0,2653.0,143.0,2646.0,137.0,42.35,44.22,44.1,3,1
12183,,,2418.0,123.0,2418.0,123.0,,40.3,40.3,0,0
12199,,,1724.0,136.0,1724.0,137.0,,28.73,28.73,0,0
12035,200.0,200.0,4340.0,980.0,2998.0,511.0,3.33,72.33,49.97,7,2
12223,1218.0,109.0,1350.0,242.0,1219.0,110.0,20.3,22.5,20.32,1,0
12224,1207.0,114.0,1335.0,242.0,1207.0,114.0,20.12,22.25,20.12,1,0
12215,1333.0,103.0,1471.0,242.0,1333.0,104.0,22.22,24.52,22.22,1,0
12212,1392.0,101.0,1533.0,242.0,1392.0,101.0,23.2,25.55,23.2,1,0
12213,1354.0,102.0,1493.0,242.0,1354.0,102.0,22.57,24.88,22.57,1,0
12206,1438.0,78.0,1602.0,242.0,1441.0,81.0,23.97,26.7,24.02,1,0
12208,1429.0,85.0,1586.0,242.0,1429.0,85.0,23.82,26.43,23.82,1,0
12211,1398.0,98.0,1542.0,242.0,1399.0,98.0,23.3,25.7,23.32,1,0
12175,2576.0,119.0,2699.0,242.0,2576.0,120.0,42.93,44.98,42.93,2,0
12275,6.0,6.0,42.0,42.0,30.0,30.0,0.1,0.7,0.5,5,1
12278,9.0,9.0,15.0,15.0,15.0,15.0,0.15,0.25,0.25,4,1
12284,5.0,5.0,13.0,13.0,13.0,13.0,0.08,0.22,0.22,2,0
12243,644.0,47.0,779.0,181.0,778.0,181.0,10.73,12.98,12.97,2,0
12247,176.0,176.0,176.0,176.0,177.0,177.0,2.93,2.93,2.95,1,0
12252,12.0,12.0,158.0,158.0,157.0,157.0,0.2,2.63,2.62,3,0
12263,81.0,81.0,91.0,91.0,91.0,91.0,1.35,1.52,1.52,2,0
12239,979.0,180.0,1029.0,230.0,1028.0,229.0,16.32,17.15,17.13,2,0
12241,971.0,183.0,1014.0,226.0,975.0,187.0,16.18,16.9,16.25,2,0
12242,850.0,186.0,890.0,226.0,885.0,221.0,14.17,14.83,14.75,2,0
12235,1090.0,159.0,1162.0,231.0,1163.0,231.0,18.17,19.37,19.38,2,0
12237,1031.0,174.0,1091.0,234.0,1064.0,207.0,17.18,18.18,17.73,3,0
12120,755.0,0.0,3873.0,556.0,3873.0,557.0,12.58,64.55,64.55,2,0
12196,1855.0,191.0,1855.0,191.0,1855.0,192.0,30.92,30.92,30.92,1,0
12233,1110.0,169.0,1243.0,302.0,1111.0,170.0,18.5,20.72,18.52,1,0
12230,1102.0,154.0,1250.0,302.0,1103.0,154.0,18.37,20.83,18.38,1,0
12232,1103.0,161.0,1244.0,302.0,1103.0,161.0,18.38,20.73,18.38,1,0
12227,1193.0,147.0,1348.0,302.0,1194.0,148.0,19.88,22.47,19.9,1,0
